
Date: 30/01/2023 17:39:55
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1461,9200	-58,1806	-58,6396
1461,9280	-58,6022	-57,9067
1461,9360	-58,9909	-58,4810
1461,9440	-59,3921	-58,6317
1461,9520	-58,8770	-57,8794
1461,9600	-59,7133	-58,8205
1461,9680	-59,0372	-58,9526
1461,9760	-59,4469	-58,2146
1461,9840	-59,2446	-57,7538
1461,9920	-59,3851	-58,4803
1462,0000	-59,4863	-58,3065
1462,0080	-59,5011	-58,6195
1462,0160	-59,6507	-57,5973
1462,0240	-59,0569	-57,2111
1462,0320	-59,1588	-56,9433
1462,0400	-58,6718	-58,0581
1462,0480	-58,5509	-57,8428
1462,0560	-58,3921	-57,9821
1462,0640	-58,6444	-58,3683
1462,0720	-58,7456	-58,3783
1462,0800	-59,0864	-58,4996
1462,0880	-59,4793	-58,1206
1462,0960	-59,1722	-57,5879
1462,1040	-58,7864	-57,4393
1462,1120	-59,3746	-57,8184
1462,1200	-59,1237	-59,0948
1462,1280	-59,4083	-58,5111
1462,1360	-59,8742	-57,7746
1462,1440	-59,8327	-57,6202
1462,1520	-59,6297	-58,0625
1462,1600	-59,5706	-58,6827
1462,1680	-59,4378	-58,4293
1462,1760	-59,2558	-58,5686
1462,1840	-59,0379	-58,2032
1462,1920	-58,5959	-58,9627
1462,2000	-59,2959	-58,8844
1462,2080	-58,9754	-58,3826
1462,2160	-59,6852	-57,7854
1462,2240	-59,4385	-57,7832
1462,2320	-59,4975	-58,7207
1462,2400	-59,1876	-58,5413
1462,2480	-58,9100	-57,0101
1462,2560	-58,8721	-57,3618
1462,2640	-59,4996	-57,3223
1462,2720	-59,4996	-58,6174
1462,2800	-59,1532	-58,6461
1462,2880	-58,7505	-57,9742
1462,2960	-58,5706	-57,6231
1462,3040	-58,7765	-57,7710
1462,3120	-58,5039	-58,2326
1462,3200	-59,4631	-57,5477
1462,3280	-58,2031	-58,5736
1462,3360	-57,7660	-57,6770
1462,3440	-58,5594	-57,1558
1462,3520	-59,0562	-57,2254
1462,3600	-59,6163	-57,0517
1462,3680	-59,4020	-57,6210
1462,3760	-58,2663	-58,5226
1462,3840	-58,4652	-58,0976
1462,3920	-58,7301	-57,7732
1462,4000	-58,7034	-58,1723
1462,4080	-58,7133	-58,6770
1462,4160	-59,2136	-57,6360
1462,4240	-59,4561	-57,9713
1462,4320	-59,6360	-58,3769
1462,4400	-59,7505	-57,7286
1462,4480	-59,5467	-58,3460
1462,4560	-58,5629	-59,1766
1462,4640	-58,4533	-58,9160
1462,4720	-58,8236	-58,1989
1462,4800	-58,8925	-57,5111
1462,4880	-59,2361	-57,3503
1462,4960	-59,2108	-58,5614
1462,5040	-59,3106	-57,9720
1462,5120	-58,7920	-58,2039
1462,5200	-59,5257	-58,6719
1462,5280	-59,3732	-59,1127
1462,5360	-59,0000	-58,5355
1462,5440	-59,1876	-58,0488
1462,5520	-59,0415	-58,4171
1462,5600	-59,2734	-58,0797
1462,5680	-59,5755	-58,1630
1462,5760	-59,1792	-57,1651
1462,5840	-58,5770	-58,0345
1462,5920	-59,3563	-57,6920
1462,6000	-59,4800	-58,3008
1462,6080	-59,4666	-58,0538
1462,6160	-58,4715	-58,4594
1462,6240	-58,8257	-58,2247
1462,6320	-59,5081	-58,4702
1462,6400	-59,6381	-58,2513
1462,6480	-59,2291	-58,4681
1462,6560	-59,4687	-57,9289
1462,6640	-59,5910	-58,2642
1462,6720	-59,3240	-58,5686
1462,6800	-59,1209	-58,5269
1462,6880	-59,3155	-58,6202
1462,6960	-59,3626	-57,4745
1462,7040	-59,1996	-59,2046
1462,7120	-59,6950	-58,1149
1462,7200	-59,4701	-57,9196
1462,7280	-59,4230	-57,4688
1462,7360	-59,6051	-58,9742
1462,7440	-59,0675	-58,5154
1462,7520	-59,1469	-57,5836
1462,7600	-59,3654	-57,0438
1462,7680	-59,2178	-57,2283
1462,7760	-58,5524	-57,5944
1462,7840	-59,2769	-57,9856
1462,7920	-59,0218	-58,4436
1462,8000	-59,4533	-57,7258
1462,8080	-58,7737	-58,5219
1462,8160	-58,5699	-58,3719
1462,8240	-57,9346	-58,7574
1462,8320	-59,4498	-58,5104
1462,8400	-59,4751	-57,5341
1462,8480	-58,5629	-58,3762
1462,8560	-58,7540	-57,8335
1462,8640	-59,2038	-58,1249
1462,8720	-58,4252	-58,1400
1462,8800	-59,4287	-57,2994
1462,8880	-59,1377	-57,9024
1462,8960	-58,6226	-57,7983
1462,9040	-58,8833	-57,5578
1462,9120	-59,3064	-58,1773
